Head,Tail,True_Relation,Model_Output
raise,provocation,_derivationally_related_form,derived-from
relate,relation,_derivationally_related_form,derived-from
bureau of justice assistance,office,_hypernym,part-of
united kingdom of great britain and northern ireland,half-term,_member_of_domain_region,"There is no direct lexical relation between ""united kingdom of great britain and northern ireland"" and ""half-term"" in the context of WordNet."
wink,wink,_derivationally_related_form,synonym
sierra nevada,range of mountains,_instance_hypernym,is-a
room decorator,design,_derivationally_related_form,is-a
thoughtfulness,contemplate,_derivationally_related_form,derived-from
steal,thief,_derivationally_related_form,agent-of
colloquialism,surely,_member_of_domain_usage,derived-from
souse,dip,_derivationally_related_form,similar-to
guanine,purine,_hypernym,is-a
remark,note,_derivationally_related_form,similar-to
lamphouse,housing,_hypernym,part-of
reason out,reason,_derivationally_related_form,derived-from
family clinidae,genus chaenopsis,_member_meronym,is-a
step up,increase,_hypernym,similar-to
widen,extension,_derivationally_related_form,derived-from
boot,shoe collar,_has_part,part-of
studying,reading,_hypernym,similar-to
shoot,dispense,_hypernym,similar-to
smelling,smell,_derivationally_related_form,derived-from
settle,conciliation,_derivationally_related_form,related-to
loathe,odium,_derivationally_related_form,similar-to
tropic,parallel of latitude,_hypernym,is-a
sassing,mouth,_derivationally_related_form,derived-from
set,transcriber,_derivationally_related_form,"There is no direct lexical relation between ""set"" and ""transcriber"" in WordNet."
impulsion,drift,_derivationally_related_form,similar-to
traverse,denier,_derivationally_related_form,"There is no direct lexical relation between ""traverse"" and ""denier"" in the context of WordNet."
tape,record,_derivationally_related_form,derived-from
working girl,whoredom,_derivationally_related_form,is-a
respond,move,_hypernym,is-a
withholding tax,income tax,_hypernym,"""part-of"""
pine,wood,_hypernym,part-of
stanton,suffragist,_instance_hypernym,is-a
liberator,helper,_hypernym,is-a
permutation,operation,_hypernym,is-a
justification,warrant,_derivationally_related_form,similar-to
grace,ornamentation,_derivationally_related_form,similar-to
putrefaction,immorality,_hypernym,similar-to
pride,satisfaction,_hypernym,similar-to
riffle,shuffle,_hypernym,similar-to
hellenic republic,cacodemon,_member_of_domain_region,"There is no direct lexical relation between ""hellenic republic"" and ""cacodemon"" in the context of WordNet."
genus cakile,dilleniid dicot genus,_hypernym,is-a
ruptiliocarpon,rosid dicot genus,_hypernym,is-a
print,score,_derivationally_related_form,derived-from
subscribe,write,_hypernym,is-a
kick,kicking,_derivationally_related_form,derived-from
merchantman,freight,_derivationally_related_form,part-of
speech rhythm,prosody,_hypernym,part-of
genus hyaena,mammal genus,_hypernym,is-a
androgenous,androgeny,_derivationally_related_form,derived-from
budget,programme,_hypernym,part-of
discourage,dismay,_derivationally_related_form,similar-to
hub of the universe,charlestown,_has_part,part-of
vitiate,demoralization,_derivationally_related_form,causes
idolatry,worship,_hypernym,is-a
pointer,point,_derivationally_related_form,derived-from
propaganda,propagandize,_derivationally_related_form,derived-from
genus cercis,rosid dicot genus,_hypernym,is-a
wait on,servant,_derivationally_related_form,is-a
thyroid hormone,internal secretion,_hypernym,is-a
impenitency,unrepentant,_derivationally_related_form,similar-to
trepan,drill,_hypernym,is-a
remand,remand,_derivationally_related_form,synonym
genus bison,buffalo,_member_meronym,is-a
rarefy,weaken,_hypernym,similar-to
withdraw,withdrawer,_derivationally_related_form,derived-from
lovingness,loving,_derivationally_related_form,derived-from
etymologizing,historical linguistics,_synset_domain_topic_of,part-of
muslim calendar,dhu al-qadah,_has_part,part-of
step dancing,terpsichore,_hypernym,is-a
double star,star,_hypernym,is-a
puff,blow,_hypernym,similar-to
wipeout,pulverize,_derivationally_related_form,similar-to
writings,sacred writing,_instance_hypernym,is-a
paternity,origination,_hypernym,derived-from
kingdom animalia,phylum brachiopoda,_member_meronym,is-a
watt-hour,work unit,_hypernym,is-a
senior,grownup,_hypernym,is-a
knock off,stop,_hypernym,similar-to
love,passion,_derivationally_related_form,similar-to
dilation,treatment,_hypernym,is-a
eisegesis,interpretation,_hypernym,is-a
minimal brain dysfunction,hyperactivity,_has_part,is-a
low relief,sculptural relief,_hypernym,is-a
occultism,subject field,_hypernym,is-a
the netherlands,rotterdam,_has_part,part-of
departed,snuff it,_derivationally_related_form,similar-to
surfeit,surfeit,_derivationally_related_form,synonym
genus arca,mollusk genus,_hypernym,is-a
iciness,cool down,_derivationally_related_form,similar-to
extirpation,uproot,_derivationally_related_form,similar-to
bran,stubble,_hypernym,"There is no direct lexical relation between ""bran"" and ""stubble"" in WordNet. However, if we consider their broader categories, ""bran"" is related to ""grain"" and ""stubble"" is related to ""crop residue."" Therefore"
incubate,cover,_verb_group,part-of
lamnidae,genus cetorhinus,_member_meronym,is-a
gristle,animal tissue,_hypernym,part-of
weave,waver,_derivationally_related_form,no direct relation
sunshine state,key,_has_part,part-of
scaphiopus,cobble up,_hypernym,"There is no direct lexical relation between ""scaphiopus"" (a genus of spadefoot toads) and ""cobble up"" (a phrasal verb meaning to put together hastily) in WordNet. Therefore, the"
flow,flowing,_derivationally_related_form,derived-from
supreme court,tribunal,_hypernym,is-a
wiper blade,wipe,_derivationally_related_form,derived-from
passer,testee,_hypernym,is-a
family dermestidae,carpet bug,_member_meronym,is-a
trilby,lid,_hypernym,is-a
refrigeration,temperature reduction,_hypernym,is-a
lifetime,dying,_has_part,part-of
travel,withdraw,_also_see,"There is no direct lexical relation between ""travel"" and ""withdraw"" in the context of WordNet."
genus alstonia,magnoliopsid genus,_hypernym,is-a
sibilation,sizz,_derivationally_related_form,similar-to
insufficient,stingy,_also_see,similar-to
wilt,dilapidate,_hypernym,similar-to
saxifraga,saxifrage,_member_meronym,is-a
continue,duration,_derivationally_related_form,related-to
upbringing,socialization,_hypernym,similar-to
get well,meliorate,_hypernym,similar-to
leg,knee joint,_has_part,part-of
hall,room,_hypernym,part-of
integumentary system,hair,_has_part,part-of
magnet,magnetize,_derivationally_related_form,derived-from
valency,powerfulness,_hypernym,No direct lexical relation
environmental science,biology,_hypernym,part-of
nutritionist,diet,_derivationally_related_form,advises-on
double reed,reed instrument,_hypernym,part-of
genus enterobius,worm genus,_hypernym,is-a
strangler tree,epiphytic plant,_hypernym,is-a
surface lift,ski tow,_hypernym,is-a
target,reference point,_hypernym,reference-to
witch,imaginary creature,_hypernym,is-a
dig out,hollow out,_hypernym,similar-to
timepiece,hand,_has_part,part-of
restrict,restriction,_derivationally_related_form,derived-from
vouch,voucher,_derivationally_related_form,derived-from
support,fund,_derivationally_related_form,part-of
sir james matthew barrie,playwright,_instance_hypernym,is-a
satanism,sorcery,_hypernym,similar-to
roneograph,roneo,_derivationally_related_form,derived-from
vitis rotundifolia,grapevine,_hypernym,is-a
female internal reproductive organ,sex organ,_hypernym,part-of
compatible,information processing system,_synset_domain_topic_of,similar-to
personal identity,place,_derivationally_related_form,"""associated-with"""
substitute,surrogate,_derivationally_related_form,similar-to
constellation,flock,_derivationally_related_form,"There is no direct lexical relation between ""constellation"" and ""flock"" in WordNet. However, if we consider their meanings, both can be seen as collections or groups, but they belong to different domains (astronomy for ""constellation"
rocket launching,launching,_hypernym,derived-from
goat,soul,_hypernym,"There is no direct lexical relation between ""goat"" and ""soul"" in the context of WordNet."
variation,concert dance,_synset_domain_topic_of,no direct relation
genus gelsemium,magnoliopsid genus,_hypernym,is-a
merry andrew,sin,_derivationally_related_form,"There is no direct lexical relation between ""merry andrew"" and ""sin"" in the context of WordNet."
turn over,turn up,_also_see,similar-to
family antedonidae,echinoderm family,_hypernym,is-a
detector,demodulate,_derivationally_related_form,related-to
de mille,choreographer,_instance_hypernym,is-a
revolt,disgust,_derivationally_related_form,similar-to
spill,liquid,_hypernym,"""requires"""
shipboard soldier,war machine,_synset_domain_topic_of,part-of
dyke,tribade,_hypernym,similar-to
accrete,mix,_hypernym,similar-to
transit,surveyor's instrument,_hypernym,"There is no direct lexical relation between ""transit"" and ""surveyor's instrument"" in WordNet. However, ""transit"" can refer to a type of ""surveyor's instrument."" Therefore, the relation could be ""is-a."""
training,train,_derivationally_related_form,derived-from
populus,poplar tree,_member_meronym,is-a
realm,rex,_derivationally_related_form,is-a
opening,unfold,_derivationally_related_form,similar-to
break,stroke,_hypernym,similar-to
liquaemin,decoagulant,_hypernym,is-a
diagnose,diagnosis,_derivationally_related_form,derived-from
perimeter,bound,_derivationally_related_form,similar-to
hateful,hostile,_also_see,similar-to
saint,sanctify,_derivationally_related_form,derived-from
schematize,create mentally,_hypernym,is-a
order apodes,eel,_member_meronym,is-a
great lakes,grouping,_instance_hypernym,part-of
maintain,number,_also_see,No direct lexical relation
family cuculidae,genus coccyzus,_member_meronym,is-a
typography,typographer,_derivationally_related_form,agent-noun
drainage,drain,_derivationally_related_form,part-of
point in time,quantity,_hypernym,No direct relation
synthetical,synthetic thinking,_derivationally_related_form,similar-to
investigator,expert,_hypernym,is-a
monogynist,spouse,_hypernym,is-a
caribbean,trinidad and tobago,_has_part,part-of
hyemoschus,water deer,_member_meronym,similar-to
stalls,farm building,_hypernym,part-of
corpus christi,urban center,_instance_hypernym,part-of
espousal,take,_derivationally_related_form,derived-from
republic of guinea,african nation,_instance_hypernym,is-a
threepence,coin,_hypernym,is-a
repudiate,reject,_hypernym,similar-to
sturgeon,ganoid fish,_hypernym,is-a
peripatidae,arthropod family,_hypernym,is-a
gatherer,gather,_derivationally_related_form,derived-from
family agonidae,sea poker,_member_meronym,is-a
paleocortex,pallium,_hypernym,part-of
winnings,win,_derivationally_related_form,derived-from
lutjanidae,ocyurus,_member_meronym,is-a
olive family,magnoliopsid family,_hypernym,is-a
salutation,recognize,_derivationally_related_form,derived-from
ejaculate,interjection,_derivationally_related_form,derived-from
luck,lucky,_derivationally_related_form,derived-from
sharer,share,_derivationally_related_form,derived-from
spectate,watch,_hypernym,similar-to
discolour,discolouration,_derivationally_related_form,derived-from
virginia,spotsylvania,_has_part,part-of
bond,stick,_derivationally_related_form,similar-to
picture,representation,_hypernym,is-a
male,biology,_synset_domain_topic_of,is-a
cup,container,_hypernym,is-a
patent office,office,_hypernym,is-a
saver,soul,_hypernym,is-a
lashkar-e-omar,terrorist organization,_instance_hypernym,is-a
lucubrate,exposition,_derivationally_related_form,is-a
substitute,substitute,_derivationally_related_form,similar-to
genus astragalus,rosid dicot genus,_hypernym,is-a
loungewear,wearable,_hypernym,is-a
finality,decisive,_derivationally_related_form,similar-to
coenzyme,molecule,_hypernym,part-of
respectfulness,respect,_derivationally_related_form,derived-from
paralithodes,arthropod genus,_hypernym,is-a
neutralization,neutralize,_derivationally_related_form,derived-from
orchidaceae,miltonia,_member_meronym,is-a
multivariate analysis,statistics,_synset_domain_topic_of,is-a
tilletia,fungus genus,_hypernym,is-a
logical argument,indicate,_derivationally_related_form,"""related-to"""
false nettle,herbaceous plant,_hypernym,is-a
telephone set,telephone receiver,_has_part,part-of
bobbysocks,mortise joint,_derivationally_related_form,no-relation
hypostasis,hypostatize,_derivationally_related_form,derived-from
submarine,standing,_hypernym,"There is no direct lexical relation between ""submarine"" and ""standing"" in the context of WordNet."
political unit,unit,_hypernym,is-a
recession,withdrawal,_hypernym,similar-to
fatalistic,fatalism,_derivationally_related_form,derived-from
western isles,inner hebrides,_has_part,part-of
cannon,machine gunner,_derivationally_related_form,part-of
duel,duellist,_derivationally_related_form,agent-of
germany,lower saxony,_has_part,part-of
order ciconiiformes,family ardeidae,_member_meronym,is-a
shop,surf,_verb_group,no-direct-relation
mustelidae,genus arctonyx,_member_meronym,is-a
motivator,stimulate,_derivationally_related_form,causes
vulcanized fiber,textile,_hypernym,derived-from
bitterness,taste property,_hypernym,is-a
luminousness,physical property,_hypernym,is-a
bismarckian,von bismarck,_derivationally_related_form,derived-from
family compositae,genus arctotis,_member_meronym,is-a
tan,tan,_derivationally_related_form,similar-to
trade name,verapamil,_member_of_domain_usage,is-a
contractor,constructor,_hypernym,similar-to
circumnavigation,plane,_synset_domain_topic_of,"""part-of"""
shooting,homicide,_hypernym,is-a
bomb,bombard,_derivationally_related_form,derived-from
surge,upsurge,_derivationally_related_form,similar-to
homogenize,intolerantly,_derivationally_related_form,"There is no direct lexical relation between ""homogenize"" and ""intolerantly"" in the context of WordNet."
typology,compartmentalization,_hypernym,similar-to
finishing,finish,_derivationally_related_form,derived-from
sit down,sit down,_also_see,similar-to
family cactaceae,pediocactus,_member_meronym,is-a
shell,shell,_derivationally_related_form,similar-to
necessity,need,_hypernym,similar-to
upstart,unpleasant person,_hypernym,is-a
ustilaginoidea,fungus genus,_hypernym,is-a
pitch,sound property,_hypernym,is-a
lacquer,ornament,_hypernym,"""used-for"""
pomatomus saltatrix,percoidean,_hypernym,is-a
sandfish,soft-finned fish,_hypernym,is-a
fucaceae,genus fucus,_member_meronym,is-a
touch on,restoration,_derivationally_related_form,unrelated
zestfulness,savour,_derivationally_related_form,similar-to
family diaspididae,arthropod family,_hypernym,is-a
owl,hoot,_derivationally_related_form,produces
follow,following,_derivationally_related_form,derived-from
venesect,venesection,_derivationally_related_form,derived-from
leaching,leach,_derivationally_related_form,derived-from
spread,propagator,_derivationally_related_form,agent-of
interpolate,interposition,_derivationally_related_form,no direct relation
civilize,civilization,_derivationally_related_form,derived-from
variegation,change,_hypernym,is-a
dkl,litre,_has_part,"There is no direct semantic relationship between ""dkl"" and ""litre"" in the context of WordNet, as ""dkl"" does not appear to be a recognized concept or term within WordNet. If ""dkl"" is intended to"
sledgehammer,maul,_derivationally_related_form,similar-to
genus blatta,oriental roach,_member_meronym,is-a
urodella,plethodontidae,_member_meronym,is-a
translate,move,_hypernym,derived-from
materialize,materialization,_derivationally_related_form,derived-from
luggage,tug,_derivationally_related_form,no direct relation
find,uncovering,_derivationally_related_form,similar-to
lithography,lithographer,_derivationally_related_form,agent-of
deep south,geographical region,_instance_hypernym,is-a
periactin,antihistamine,_hypernym,is-a
dazzle,blind,_hypernym,similar-to
worship,perfection,_derivationally_related_form,No direct lexical relation
soapberry family,genus harpullia,_member_meronym,is-a
exert,travail,_derivationally_related_form,similar-to
speechmaking,speech,_hypernym,is-a
thread,run,_hypernym,is-a
thicken,thickening,_derivationally_related_form,derived-from
shaw,physician,_instance_hypernym,is-a
sower,sow in,_derivationally_related_form,is-a
relative,relationship,_derivationally_related_form,is-a
germany,koln,_has_part,part-of
catatonia,catatonic,_derivationally_related_form,derived-from
century plant,xerophytic plant,_hypernym,is-a
blantyre,urban center,_instance_hypernym,is-a
musical instrument,instrumentate,_derivationally_related_form,derived-from
precise,exact,_also_see,similar-to
lunch,tiffin,_derivationally_related_form,similar-to
shell,uncovering,_derivationally_related_form,antonym
south korea,inchon,_has_part,part-of
youth culture,subculture,_hypernym,is-a
st. gregory i,doctor of the church,_instance_hypernym,is-a
heavenly body,natural object,_hypernym,is-a
shutter,shut out,_derivationally_related_form,derived-from
ornithischia,animal order,_hypernym,is-a
ardennes,battle of the bulge,_member_of_domain_region,part-of
fence line,mete,_hypernym,part-of
exuberance,triumph,_derivationally_related_form,similar-to
shaft,outfit,_hypernym,No direct lexical relation
kaury,kauri pine,_hypernym,is-a
preservation,improvement,_hypernym,antonym
sport,wittiness,_hypernym,"There is no direct lexical relation between ""sport"" and ""wittiness"" in WordNet."
association of southeast asian nations,negara brunei darussalam,_member_meronym,part-of
fug,murkiness,_hypernym,similar-to
transition,transition,_derivationally_related_form,similar-to
shake,vibrate,_hypernym,similar-to
silence,still,_derivationally_related_form,similar-to
self-praise,vaunt,_derivationally_related_form,similar-to
limp,limping,_derivationally_related_form,derived-from
vinca rosea,herbaceous plant,_hypernym,is-a
philanthropist,selfless,_derivationally_related_form,similar-to
unfasten,untier,_derivationally_related_form,similar-to
porta,open,_derivationally_related_form,"""part-of"""
pair,twin,_derivationally_related_form,similar-to
pinctada,mollusk genus,_hypernym,is-a
ejaculate,release,_hypernym,is-a
habit,now,_derivationally_related_form,no-direct-relation
family diapensiaceae,dilleniid dicot family,_hypernym,is-a
haliaeetus,bird genus,_hypernym,is-a
receive,view,_hypernym,unrelated
circumscribe,circumscribe,_verb_group,synonym
transposability,interchangeableness,_hypernym,similar-to
adapt,vary,_hypernym,similar-to
sublimaze,painkiller,_hypernym,is-a
stirrer,stir,_derivationally_related_form,derived-from
ohio,cleveland,_has_part,part-of
journey cake,cornbread,_hypernym,is-a
usn,nuwc,_has_part,"""part-of"""
mire,stand still,_hypernym,similar-to
ill-being,hardship,_hypernym,similar-to
seed,rate,_hypernym,No direct lexical relation
experimentation,control condition,_has_part,part-of
lactophrys,fish genus,_hypernym,is-a
water pistol,squirt,_derivationally_related_form,is-a
goggle,gape,_derivationally_related_form,similar-to
stealth,hiding,_hypernym,similar-to
uniting,unite,_derivationally_related_form,derived-from
stumble,walk,_hypernym,manner-of
connect,joining,_derivationally_related_form,similar-to
salientian,salientia,_derivationally_related_form,is-a
self-assertive,put forward,_derivationally_related_form,derived-from
trainee,tyro,_hypernym,similar-to
symphalangus,twenty-five percent,_derivationally_related_form,"There is no direct lexical relation between ""symphalangus"" and ""twenty-five percent"" in the context of WordNet."
degree,temperature unit,_hypernym,is-a
strain,stock,_derivationally_related_form,is-a
demonstration,visual communication,_hypernym,is-a
scolytidae,bark beetle,_member_meronym,is-a
tax,levy,_hypernym,is-a
united kingdom of great britain and northern ireland,perambulation,_member_of_domain_region,No direct lexical relation
conference,consult,_derivationally_related_form,related-to
retrench,trim down,_hypernym,similar-to
sounding board,resonator,_hypernym,part-of
pseudomonodaceae,pseudomonas,_member_meronym,is-a
medical care,medical diagnosis,_has_part,part-of
devalue,devaluation,_derivationally_related_form,derived-from
fling,fling,_derivationally_related_form,synonym
ghanian,ghanian,_derivationally_related_form,similar-to
mindfulness,attentiveness,_hypernym,similar-to
coccus,true bacteria,_hypernym,is-a
ferry,piloting,_synset_domain_topic_of,part-of
genus cercis,love tree,_member_meronym,is-a
meeting,rising,_derivationally_related_form,"There is no direct lexical relation between ""meeting"" and ""rising"" in the context of WordNet."
syntactic category,family,_hypernym,is-a
culminate,culmination,_derivationally_related_form,derived-from
irish whisky,whisky,_hypernym,is-a
crystal,element,_hypernym,"""part-of"""
gloss,glossary,_derivationally_related_form,part-of
frequent,sponsor,_derivationally_related_form,"There is no direct lexical relation between ""frequent"" and ""sponsor"" in the context of WordNet."
graduate school,school,_hypernym,is-a
rime,frost,_derivationally_related_form,similar-to
evocation,suggest,_derivationally_related_form,entails
groove,incise,_hypernym,derived-from
sprinkle,discharge,_hypernym,similar-to
peltandra,arrow arum,_member_meronym,is-a
smutch,rub,_hypernym,derived-from
perching bird,roost,_derivationally_related_form,part-of
cauterize,burn,_derivationally_related_form,is-a
genus deparia,fern genus,_hypernym,is-a
requite,give,_hypernym,is-a
step-up,increase,_derivationally_related_form,similar-to
spleen,lymphoid tissue,_hypernym,part-of
rosewood tree,tree,_hypernym,is-a
relocate,move,_hypernym,is-a
stereotype,sort out,_hypernym,"There is no direct lexical relation between ""stereotype"" and ""sort out"" in the context of WordNet."
marshall,statesman,_instance_hypernym,is-a
lift,operate on,_hypernym,is-a
quenching,snuff out,_derivationally_related_form,similar-to
vilifier,vituperate,_derivationally_related_form,derived-from
victor hugo,playwright,_instance_hypernym,is-a
descent,go down,_derivationally_related_form,is-a
usa,missouri river,_has_part,"""part-of"""
yawn,yawner,_derivationally_related_form,derived-from
emission,stuff,_hypernym,"""part-of"""
fast,fasting,_derivationally_related_form,derived-from
send,origination,_derivationally_related_form,causes
rule,formularize,_derivationally_related_form,derived-from
retrogress,recidivism,_derivationally_related_form,similar-to
robe,gown,_derivationally_related_form,similar-to
transcribe,transcriber,_derivationally_related_form,agent-of
edifice,window,_has_part,part-of
plant fibre,plant product,_hypernym,part-of
yoke,pair,_derivationally_related_form,part-of
rejection,reject,_derivationally_related_form,derived-from
frankness,direct,_derivationally_related_form,similar-to
trudge,tramp,_hypernym,similar-to
generate,generator,_derivationally_related_form,derived-from
mauritanian,african,_hypernym,is-a
utility,utile,_derivationally_related_form,derived-from
abandon,toss out,_hypernym,similar-to
dispatcher,send off,_derivationally_related_form,related-to
invigorate,stir,_hypernym,similar-to
deformation,deform,_derivationally_related_form,derived-from
sexual assault,statutory offense,_hypernym,is-a
grant,present,_hypernym,similar-to
subfamily papilionoideae,spartium,_member_meronym,is-a
temporalty,secular,_member_meronym,similar-to
settlement,geographical region,_hypernym,part-of
tummy,pit of the stomach,_has_part,part-of
slip by,progress,_hypernym,antonym
temperature,somesthesia,_hypernym,part-of
wild snapdragon,flower,_hypernym,is-a
work animal,fauna,_hypernym,is-a
subfamily merginae,mergus,_member_meronym,is-a
first state,dover,_has_part,"""part-of"""
fumes,gas,_hypernym,is-a
polish,furbish,_derivationally_related_form,similar-to
arthropod,invertebrate,_hypernym,is-a
suborder homoptera,superfamily aphidoidea,_member_meronym,is-a
roll,wrap,_derivationally_related_form,entails
el iskandriyah,port,_instance_hypernym,part-of
responder,respond,_derivationally_related_form,derived-from
nail,head,_has_part,part-of
hire,employer,_derivationally_related_form,agent-of
date,month,_hypernym,part-of
insolvent,unsuccessful person,_hypernym,is-a
pass off,vanish,_hypernym,similar-to
beg,skirt,_hypernym,"There is no direct lexical relation between ""beg"" and ""skirt"" in the context of WordNet."
headline,publicize,_hypernym,derived-from
life science,natural science,_hypernym,is-a
hydrosphere,main,_has_part,No direct lexical relation
disapproval,substance,_hypernym,No direct lexical relation
absorptivity,absorptive,_derivationally_related_form,derived-from
slack off,lessen,_hypernym,similar-to
trade name,lanoxin,_member_of_domain_usage,is-a
want,desire,_derivationally_related_form,similar-to
demist,modify,_hypernym,derived-from
richard evelyn byrd,explorer,_instance_hypernym,is-a
tyro,start out,_derivationally_related_form,similar-to
take chances,gamble,_derivationally_related_form,similar-to
learned response,response,_hypernym,is-a
sandwich,sandwich,_derivationally_related_form,synonym
musculature,ligament,_has_part,part-of
urban center,inner city,_has_part,part-of
subclass archosauria,sauropterygia,_member_meronym,is-a
word picture,draw,_derivationally_related_form,derived-from
society,association,_hypernym,is-a
stizostedion,pike perch,_member_meronym,is-a
start,start,_derivationally_related_form,synonym
golf-club head,head,_hypernym,part-of
mississippi river,river,_instance_hypernym,is-a
africa,senegal,_has_part,part-of
turnover,dish,_hypernym,"There is no direct lexical relation between ""turnover"" and ""dish"" in WordNet. However, if ""turnover"" is considered in the context of food (as a type of pastry), the relation could be ""is-a"" since a"
head,human face,_has_part,part-of
temper,temper,_derivationally_related_form,similar-to
finish,finish,_derivationally_related_form,similar-to
tee,peg,_hypernym,is-a
win,win,_derivationally_related_form,synonym
brawler,wrangle,_derivationally_related_form,similar-to
sorghum,millet,_hypernym,similar-to
rupture,tear,_derivationally_related_form,similar-to
managership,manager,_derivationally_related_form,is-a
asphyxia,suffocate,_derivationally_related_form,"""similar-to"""
zettabyte,exabyte,_has_part,is-a
scruple,scruple,_derivationally_related_form,synonym
red china,mekong river,_has_part,No direct lexical relation
canada,st. lawrence river,_has_part,part-of
explosive compound,explosive,_hypernym,is-a
friend of the court,law,_synset_domain_topic_of,related-to
family anthocerotaceae,moss family,_hypernym,is-a
order chiroptera,suborder microchiroptera,_member_meronym,is-a
aftereffect,upshot,_hypernym,similar-to
immortal,deify,_derivationally_related_form,derived-from
space,aerospace,_has_part,is-a
soothsayer,visionary,_hypernym,similar-to
taxonomy,hierarchy,_hypernym,is-a
women's liberation movement,movement,_hypernym,is-a
power,officiate,_derivationally_related_form,is-a
hard,insensitive,_also_see,similar-to
durables,consumer goods,_hypernym,is-a
endocrine,internal secretion,_derivationally_related_form,is-a
closet,shelf,_has_part,part-of
trespasser,interlope,_derivationally_related_form,similar-to
charm,spell,_derivationally_related_form,is-a
plataleidae,platalea,_member_meronym,is-a
tyrannize,tyrant,_derivationally_related_form,derived-from
western church,sacred college,_has_part,part-of
pretend,act,_derivationally_related_form,similar-to
knee joint,musculus articularis genus,_has_part,part-of
pat,fondle,_hypernym,similar-to
call,send for,_verb_group,synonym
picture,photographic,_derivationally_related_form,derived-from
forestry,forest,_derivationally_related_form,part-of
jump,wax,_hypernym,"There is no direct lexical relation between ""jump"" and ""wax"" in WordNet."
unite,link,_derivationally_related_form,similar-to
berk,stupid person,_hypernym,is-a
survive,survivor,_derivationally_related_form,derived-from
monotropa,pinesap,_member_meronym,is-a
rhamnales,vitidaceae,_member_meronym,is-a
cranberry,shrub,_hypernym,part-of
misshapenness,affliction,_hypernym,is-a
reveller,whoop it up,_derivationally_related_form,similar-to
patronage,social control,_hypernym,is-a
constant,unchangeable,_also_see,similar-to
steal,win,_hypernym,antonym
autonomic nervous system,sympathetic nervous system,_has_part,part-of
transportation,expatriate,_derivationally_related_form,"There is no direct lexical relation between ""transportation"" and ""expatriate"" in the context of WordNet."
saint,religion,_synset_domain_topic_of,part-of
redwing,new world blackbird,_hypernym,is-a
superfamily coccoidea,pseudococcidae,_member_meronym,is-a
visit,visit,_derivationally_related_form,synonym
uranyl radical,radical,_hypernym,is-a
horripilate,horripilate,_verb_group,synonym
spark,flicker,_derivationally_related_form,similar-to
ring,chemistry,_synset_domain_topic_of,part-of
iodine,iodinate,_derivationally_related_form,derived-from
narcan,narcotic antagonist,_hypernym,is-a
work,work,_verb_group,similar-to
marksmanship,sharpshooter,_derivationally_related_form,is-a
phylum mollusca,lamellibranchia,_member_meronym,is-a
twenty-four hours,unit of time,_hypernym,is-a
programme,show,_hypernym,is-a
fire,turn back,_hypernym,"There is no direct lexical relation between ""fire"" and ""turn back"" in the context of WordNet."
child,soul,_hypernym,is-a
incubation,incubate,_derivationally_related_form,derived-from
man,man's body,_has_part,part-of
set,set,_derivationally_related_form,similar-to
capsulize,capsule,_derivationally_related_form,derived-from
swob,swob,_derivationally_related_form,similar-to
excite,energizing,_derivationally_related_form,similar-to
orchidaceae,genus oncidium,_member_meronym,is-a
succour,minister,_derivationally_related_form,is-a
genus encelia,incienso,_member_meronym,is-a
sepulture,chamber,_hypernym,part-of
garnish,ornamentation,_hypernym,similar-to
harp,harp,_derivationally_related_form,synonym
gangsta,peer,_hypernym,similar-to
transfer,move,_hypernym,is-a
gathering,tuck,_derivationally_related_form,"There is no direct lexical relation between ""gathering"" and ""tuck"" in WordNet."
try out,tryout,_derivationally_related_form,derived-from
spain,jerez de la frontera,_has_part,part-of
mantis,dictyopterous insect,_hypernym,is-a
dish,serve up,_derivationally_related_form,"""related-to"""
parade,showing,_hypernym,is-a
bravo,murderer,_hypernym,is-a
golf-club head,toe,_has_part,part-of
emanate,emanation,_derivationally_related_form,derived-from
order cypriniformes,family catostomidae,_member_meronym,is-a
central america,isthmus,_instance_hypernym,part-of
carry,carry,_verb_group,synonym
united kingdom of great britain and northern ireland,gamp,_member_of_domain_region,No direct lexical relation
taichung,urban center,_instance_hypernym,is-a
sassing,verbalize,_derivationally_related_form,is-a
substantia grisea,nervous tissue,_hypernym,part-of
separate,change integrity,_hypernym,is-a
trump up,manufacture,_hypernym,similar-to
uncreative,unoriginal,_also_see,similar-to
wipe out,kill,_hypernym,Is-a
intersperse,stick in,_hypernym,similar-to
net,goal,_hypernym,part-of
skipper,ship's officer,_hypernym,is-a
hobbyist,amateur,_hypernym,similar-to
peach,stone fruit,_hypernym,is-a
lower,pull a face,_hypernym,"There is no direct lexical relation between ""lower"" and ""pull a face"" in the context of WordNet."
welsh,welsh,_derivationally_related_form,similar-to
technology administration,office,_hypernym,part-of
william jefferson clinton,united states president,_instance_hypernym,is-a
settler,migrator,_hypernym,is-a
dicker,steal,_derivationally_related_form,"There is no direct lexical relation between ""dicker"" and ""steal"" in WordNet."
activate,modify,_hypernym,similar-to
vt,burlington,_has_part,is-a
marmalade box,genipap fruit,_has_part,"There is no direct lexical relation between ""marmalade box"" and ""genipap fruit"" in the context of WordNet. However, if we consider the broader context, ""marmalade"" is a type of preserve that can be made"
suborder manteodea,mantidae,_member_meronym,is-a
